ID,Name,Title,ManagerID,OfficeProgram,Description,TopGroup,SubGroup,Company,IsPartTime,IsRetiredPriorAgentOfficer,IsHiredWaitingBI,IsDriverTrainer,IsOpenPosition,IsRemote,SortOrder
1,Frankie Irwin,Technical PM,,Leadership,Program leadership,,,PRIME CONTRACTOR,1,0,0,0,0,0,1
2,Val Guerra,"Program Manager, Deputy",1,Leadership,Program leadership,,,PRIME CONTRACTOR,0,1,0,0,0,0,2
3,Wren Neri,Technical PM,2,Management,Contract support team,,,PRIME CONTRACTOR,0,0,0,0,0,0,1
4,Alex Yancey,Financial Analyst,2,Management,Contract support team,,,PRIME CONTRACTOR,0,0,0,0,0,1,2
5,Dakota Holt,Technical Writer,2,Management,Contract support team,,,PRIME CONTRACTOR,0,0,0,0,0,0,3
6,Marlow Esparza,SME - Cybersecurity,999,,,,,PRIME CONTRACTOR,0,0,0,0,0,0,1
7,Finley Larkin,SME - Data Governance,999,,,,,PRIME CONTRACTOR,1,0,0,0,0,1,2
8,Taylor Zamora,SME - Cloud Architecture,999,,,,,PRIME CONTRACTOR,0,0,0,0,0,0,3
9,Jesse Quinlan,SME - Process Improvement,999,,,,,Silverline Advisory,0,0,0,0,0,1,4
10,Frankie Trent,Task Lead,2,Mobile Support Unit (MSU),Field mobile support operations,Operations Group,Field Support,PRIME CONTRACTOR,0,0,0,0,0,0,1
11,Cameron Abbott,Analyst,10,Mobile Support Unit (MSU),,,,PRIME CONTRACTOR,0,0,0,0,0,1,2
12,Greer Esparza,Senior Analyst,10,Mobile Support Unit (MSU),,,,BrightPath Consulting,0,0,0,0,0,1,3
13,Finley Poole,Senior Analyst,10,Mobile Support Unit (MSU),,,,PRIME CONTRACTOR,0,0,0,0,0,0,4
14,Jesse Cobb,Analyst,10,Mobile Support Unit (MSU),,,,PRIME CONTRACTOR,0,0,0,0,0,0,5
15,Jesse Vance,Analyst,10,Mobile Support Unit (MSU),,,,Silverline Advisory,0,0,0,0,0,1,6
